fixture,key_hex,width,height,tolerance,edge,spill,backdrop_pixels,subject_pixels,tp,fp,fn,precision,recall,iou
flat-blue,#0047bb,320,240,65,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,70,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,75,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,80,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,85,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,90,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,95,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
flat-blue,#0047bb,320,240,100,0,0,55459,21341,55459,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,0,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,5,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,10,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,15,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,20,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,25,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,30,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,35,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,40,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,45,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,50,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,55,0,0,49579,27221,49579,0,0,1.000000,1.000000,1.000000
neutral-white,#f2f2f2,320,240,60,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,65,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,70,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,75,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,80,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,85,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,90,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,95,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
neutral-white,#f2f2f2,320,240,100,0,0,49579,27221,49579,27221,0,0.645560,1.000000,0.645560
